Player_Names,Country,Start_Year,End_Year,Matches,Innings,Not_Out,Total_Runs,Highest_Score,Batting_Average,100's,50's,0,Career_Span,HS_num
SR Tendulkar ,India,1989,2013,200,329,33,15921,248*,53.78,51,68,14,24,248
JE Root ,England,2012,2025,158,288,24,13543,262,51.29,39,66,13,13,262
RT Ponting ,Australia,1995,2012,168,287,29,13378,257,51.85,41,62,17,17,257
JH Kallis ,South Africa,1995,2013,166,280,40,13289,224,55.37,45,58,16,18,224
R Dravid ,India,1996,2012,164,286,32,13288,270,52.31,36,63,8,16,270
AN Cook ,England,2006,2018,161,291,16,12472,294,45.35,33,57,9,12,294
KC Sangakkara ,Sri Lanka,2000,2015,134,233,17,12400,319,57.4,38,52,11,15,319
BC Lara ,West Indies,1990,2006,131,232,6,11953,400*,52.88,34,48,17,16,400
S Chanderpaul ,West Indies,1994,2015,164,280,49,11867,203*,51.37,30,66,15,21,203
DPMD Jayawardene ,Sri Lanka,1997,2014,149,252,15,11814,374,49.84,34,50,15,17,374
AR Border ,Australia,1978,1994,156,265,44,11174,205,50.56,27,63,11,16,205
SR Waugh ,Australia,1985,2004,168,260,46,10927,200,51.06,32,50,22,19,200
SPD Smith ,Australia,2010,2025,119,212,25,10477,239,56.02,36,43,11,15,239
SM Gavaskar ,India,1971,1987,125,214,16,10122,236*,51.12,34,45,12,16,236
Younis Khan ,Pakistan,2000,2017,118,213,19,10099,313,52.05,34,33,19,17,313
HM Amla ,South Africa,2004,2019,124,215,16,9282,311*,46.64,28,41,13,15,311
KS Williamson ,New Zealand,2010,2024,105,186,17,9276,251,54.88,33,37,11,14,251
GC Smith ,South Africa,2002,2014,117,205,13,9265,277,48.25,27,38,11,12,277
V Kohli ,India,2011,2025,123,210,13,9230,254*,46.85,30,31,15,14,254
GA Gooch ,England,1975,1995,118,215,6,8900,333,42.58,20,46,13,20,333
Javed Miandad ,Pakistan,1976,1993,124,189,21,8832,280*,52.57,23,43,6,17,280
Inzamam-ul-Haq ,Pakistan,1992,2007,120,200,22,8830,329,49.6,25,46,15,15,329
DA Warner ,Australia,2011,2024,112,205,8,8786,335*,44.59,26,37,13,13,335
VVS Laxman ,India,1996,2012,134,225,34,8781,281,45.97,17,56,14,16,281
AB de Villiers ,South Africa,2004,2018,114,191,18,8765,278*,50.66,22,46,8,14,278
MJ Clarke ,Australia,2004,2015,115,198,22,8643,329*,49.1,28,27,9,11,329
ML Hayden ,Australia,1994,2009,103,184,14,8625,380,50.73,30,29,14,15,380
V Sehwag ,India,2001,2013,104,180,6,8586,319,49.34,23,32,16,12,319
IVA Richards ,West Indies,1974,1991,121,182,12,8540,291,50.23,24,45,10,17,291
AJ Stewart ,England,1990,2003,133,235,21,8463,190,39.54,15,45,14,13,190
DI Gower ,England,1978,1992,117,204,18,8231,215,44.25,18,39,7,14,215
AD Mathews ,Sri Lanka,2009,2025,119,212,27,8214,200*,44.4,16,45,6,16,200
KP Pietersen ,England,2005,2014,104,181,8,8181,227,47.28,23,35,10,9,227
G Boycott ,England,1964,1982,108,193,23,8114,246*,47.72,22,42,10,18,246
GS Sobers ,West Indies,1954,1974,93,160,21,8032,365*,57.78,26,30,12,20,365
ME Waugh ,Australia,1991,2002,128,209,17,8029,153*,41.81,20,47,19,11,153
