Player_Names,Country,Start_Year,End_Year,Matches,Innings,Not_Out,Total_Runs,Highest_Score,Batting_Average,100's,50's,0,Career_Span,HS_num,Photos,contry link,country board
SR Tendulkar ,India,1989,2013,200,329,33,15921,248*,53.78,51,68,14,24,248,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_960,q_50/lsci/db/PICTURES/CMS/42400/42471.jpg",https://vemaps.com/uploads/img/in-04.png,https://upload.wikimedia.org/wikipedia/commons/4/45/Board_of_Control_for_Cricket_in_India_Logo_%282024%29.svg
JE Root ,England,2012,2025,158,288,24,13543,262,51.29,39,66,13,13,262,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_60/lsci/db/PICTURES/CMS/335700/335780.jpg",https://vemaps.com/uploads/img/big/gb-03.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/England_and_Wales_Cricket_Board.svg/960px-England_and_Wales_Cricket_Board.svg.png
RT Ponting ,Australia,1995,2012,168,287,29,13378,257,51.85,41,62,17,17,257,https://cf-img-a-in.tosshub.com/sites/visualstory/stories/2023_01/story_17282/assets/2.jpeg?time=1672992010,https://vemaps.com/uploads/img/au-03.png,https://upload.wikimedia.org/wikipedia/en/3/3f/Cricket_Australia.png
JH Kallis ,South Africa,1995,2013,166,280,40,13289,224,55.37,45,58,16,18,224,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/126500/126538.jpg,https://vemaps.com/uploads/img/za-03.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Southafrica_cricket_logo.svg/1280px-Southafrica_cricket_logo.svg.png
R Dravid ,India,1996,2012,164,286,32,13288,270,52.31,36,63,8,16,270,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_60/lsci/db/PICTURES/CMS/136200/136249.jpg",https://vemaps.com/uploads/img/in-04.png,https://upload.wikimedia.org/wikipedia/commons/4/45/Board_of_Control_for_Cricket_in_India_Logo_%282024%29.svg
AN Cook ,England,2006,2018,161,291,16,12472,294,45.35,33,57,9,12,294,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_60/lsci/db/PICTURES/CMS/174000/174063.jpg",https://vemaps.com/uploads/img/big/gb-03.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/England_and_Wales_Cricket_Board.svg/960px-England_and_Wales_Cricket_Board.svg.png
KC Sangakkara ,Sri Lanka,2000,2015,134,233,17,12400,319,57.4,38,52,11,15,319,https://cf-img-a-in.tosshub.com/sites/visualstory/wp/2024/08/Reuters_RTR41SHE.jpg?size=*:900,https://vemaps.com/uploads/img/lk-04.png,https://static.wikia.nocookie.net/internationalcricket/images/8/8c/Sri_Lanka_Cricket.png/revision/latest?cb=20211015140839
BC Lara ,West Indies,1990,2006,131,232,6,11953,400*,52.88,34,48,17,16,400,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_60/lsci/db/PICTURES/DB/042003/043955.jpg",https://cdn.britannica.com/05/5105-050-047187C4/West-Indies.jpg,https://upload.wikimedia.org/wikipedia/en/9/9b/Cricket_West_Indies_Logo_2017.png
S Chanderpaul ,West Indies,1994,2015,164,280,49,11867,203*,51.37,30,66,15,21,203,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/134900/134936.jpg,https://cdn.britannica.com/05/5105-050-047187C4/West-Indies.jpg,https://upload.wikimedia.org/wikipedia/en/9/9b/Cricket_West_Indies_Logo_2017.png
DPMD Jayawardene ,Sri Lanka,1997,2014,149,252,15,11814,374,49.84,34,50,15,17,374,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_60/lsci/db/PICTURES/CMS/99300/99303.jpg",https://vemaps.com/uploads/img/lk-04.png,https://static.wikia.nocookie.net/internationalcricket/images/8/8c/Sri_Lanka_Cricket.png/revision/latest?cb=20211015140839
AR Border ,Australia,1978,1994,156,265,44,11174,205,50.56,27,63,11,16,205,https://cf-img-a-in.tosshub.com/sites/visualstory/wp/2023/07/Allan-Border-3.jpg?size=*:900,https://vemaps.com/uploads/img/au-03.png,https://upload.wikimedia.org/wikipedia/en/3/3f/Cricket_Australia.png
SR Waugh ,Australia,1985,2004,168,260,46,10927,200,51.06,32,50,22,19,200,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_60/lsci/db/PICTURES/DB/122000/020666.jpg",https://vemaps.com/uploads/img/au-03.png,https://upload.wikimedia.org/wikipedia/en/3/3f/Cricket_Australia.png
SPD Smith ,Australia,2010,2025,119,212,25,10477,239,56.02,36,43,11,15,239,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_800,q_50/lsci/db/PICTURES/CMS/165500/165515.jpg",https://vemaps.com/uploads/img/au-03.png,https://upload.wikimedia.org/wikipedia/en/3/3f/Cricket_Australia.png
SM Gavaskar ,India,1971,1987,125,214,16,10122,236*,51.12,34,45,12,16,236,https://media.assettype.com/theleaflet%2Fimport%2Fwp-content%2Fuploads%2F2021%2F05%2F76b9823aa23de982551667d5acd87236.jpeg?w=640&auto=format%2Ccompress,https://vemaps.com/uploads/img/in-04.png,https://upload.wikimedia.org/wikipedia/commons/4/45/Board_of_Control_for_Cricket_in_India_Logo_%282024%29.svg
Younis Khan ,Pakistan,2000,2017,118,213,19,10099,313,52.05,34,33,19,17,313,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_60/lsci/db/PICTURES/CMS/249800/249811.jpg",https://vemaps.com/uploads/img/pk-03.png,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQfSMgRVKQWOxGyuGForkjZxIa7No87V-iQQ&s
HM Amla ,South Africa,2004,2019,124,215,16,9282,311*,46.64,28,41,13,15,311,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_60/lsci/db/PICTURES/CMS/232100/232121.jpg",https://vemaps.com/uploads/img/za-03.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Southafrica_cricket_logo.svg/1280px-Southafrica_cricket_logo.svg.png
KS Williamson ,New Zealand,2010,2024,105,186,17,9276,251,54.88,33,37,11,14,251,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_60/lsci/db/PICTURES/CMS/376000/376090.jpg",https://vemaps.com/uploads/img/nz-03.png,https://upload.wikimedia.org/wikipedia/en/1/19/Logo_of_cricket_New_zealand_Team.png
GC Smith ,South Africa,2002,2014,117,205,13,9265,277,48.25,27,38,11,12,277,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/143300/143376.jpg,https://vemaps.com/uploads/img/za-03.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Southafrica_cricket_logo.svg/1280px-Southafrica_cricket_logo.svg.png
V Kohli ,India,2011,2025,123,210,13,9230,254*,46.85,30,31,15,14,254,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_60/lsci/db/PICTURES/CMS/356100/356139.jpg",https://vemaps.com/uploads/img/in-04.png,https://upload.wikimedia.org/wikipedia/commons/4/45/Board_of_Control_for_Cricket_in_India_Logo_%282024%29.svg
GA Gooch ,England,1975,1995,118,215,6,8900,333,42.58,20,46,13,20,333,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_60/lsci/db/PICTURES/CMS/24900/24989.jpg",https://vemaps.com/uploads/img/big/gb-03.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/England_and_Wales_Cricket_Board.svg/960px-England_and_Wales_Cricket_Board.svg.png
Javed Miandad ,Pakistan,1976,1993,124,189,21,8832,280*,52.57,23,43,6,17,280,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_60/lsci/db/PICTURES/CMS/25000/25011.jpg",https://vemaps.com/uploads/img/pk-03.png,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQfSMgRVKQWOxGyuGForkjZxIa7No87V-iQQ&s
Inzamam-ul-Haq ,Pakistan,1992,2007,120,200,22,8830,329,49.6,25,46,15,15,329,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_60/lsci/db/PICTURES/CMS/80700/80731.jpg",https://vemaps.com/uploads/img/pk-03.png,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQfSMgRVKQWOxGyuGForkjZxIa7No87V-iQQ&s
DA Warner ,Australia,2011,2024,112,205,8,8786,335*,44.59,26,37,13,13,335,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_800,q_50/lsci/db/PICTURES/CMS/141200/141284.2.jpg",https://vemaps.com/uploads/img/au-03.png,https://upload.wikimedia.org/wikipedia/en/3/3f/Cricket_Australia.png
VVS Laxman ,India,1996,2012,134,225,34,8781,281,45.97,17,56,14,16,281,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/134500/134517.2.jpg,https://vemaps.com/uploads/img/in-04.png,https://upload.wikimedia.org/wikipedia/commons/4/45/Board_of_Control_for_Cricket_in_India_Logo_%282024%29.svg
AB de Villiers ,South Africa,2004,2018,114,191,18,8765,278*,50.66,22,46,8,14,278,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_60/lsci/db/PICTURES/CMS/179300/179391.jpg",https://vemaps.com/uploads/img/za-03.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Southafrica_cricket_logo.svg/1280px-Southafrica_cricket_logo.svg.png
MJ Clarke ,Australia,2004,2015,115,198,22,8643,329*,49.1,28,27,9,11,329,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_800,q_50/lsci/db/PICTURES/CMS/97700/97799.jpg",https://vemaps.com/uploads/img/au-03.png,https://upload.wikimedia.org/wikipedia/en/3/3f/Cricket_Australia.png
ML Hayden ,Australia,1994,2009,103,184,14,8625,380,50.73,30,29,14,15,380,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_60/lsci/db/PICTURES/CMS/96400/96407.jpg",https://vemaps.com/uploads/img/au-03.png,https://upload.wikimedia.org/wikipedia/en/3/3f/Cricket_Australia.png
V Sehwag ,India,2001,2013,104,180,6,8586,319,49.34,23,32,16,12,319,https://img1.hscicdn.com/image/upload/f_auto/lsci/db/PICTURES/CMS/120200/120222.jpg,https://vemaps.com/uploads/img/in-04.png,https://upload.wikimedia.org/wikipedia/commons/4/45/Board_of_Control_for_Cricket_in_India_Logo_%282024%29.svg
